company_name,website,country,industry,buyer_type,product_interest,contact_person,email,whatsapp,phone,linkedin,source,evidence,lead_score,run_id,collected_at,search_query
Supply Chain & Logistics Recruiters in Houston | Clayton Services,https://www.claytonpersonnel.com/supply-chain-logistics-recruiters-houston,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,,,752297301493,,You.com,"Clayton Services has been placing supply chain and logistics professionals with Houston companies since 1984. Procurement, inventory, logistics, operations, demand planning, and supply chain leadership. Energy, petrochemical, port, and distribution sectors. Direct hire and temp-to-hire. 180-day guarantee.",1,,,
Senior Petrochemical Buyer & Strategic Sourcing,https://bebee.com/us/jobs/senior-petrochemical-buyer-strategic-sourcing-westlake-services-geismar--lensa-7428_9d5c5a3079b2f2b2194b1acdab1751dc1ad6929e30b5cdce744ab08595be7066,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,support@bebee.com,,36805-542,,You.com,"Westlake is seeking a Buyer II or Sr. Buyer for procurement of supplies and services supporting our petrochemical operations in Geismar, Louisiana. You will review requisitions, evaluate vendors, negotiate terms, and ensure on‑time delivery while maintaining safety and SAP‑based processes. The ideal candidate has at least 7 years in purchasing, strong communication skills, and proficiency with MS Word/Excel and ERP systems. Interested in this role?",1,,,
Senior Petrochemical Buyer & Strategic Sourcing | Geismar,https://www.jobleads.com/us/job/senior-petrochemical-buyer-strategic-sourcing--geismar--e5a145e605859cd4cfdfe3009b28f2c4d,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,service@jobleads.de,,2026-08-25,,You.com,,1,,,
Procurement Lead,https://jobs.ineos-styrolution.com/job/Antwerp-Procurement-Lead-Strategic-Site-Buyer-2040/1284198201/,,,Potential buyer / industrial consumer,,,eva.haverkate@ineos.com,,2040/1284198201,,You.com,"More information: www.ineos-styrolution.com Current Opportunity Job Title: Procurement Lead - Strategic Site Buyer Location: Antwerp The Position As our Site Buyer in Antwerp, you will take ownership of the indirect spend demands for our production site. Leadership: Lead, coach, and develop your direct report(s) to enhance the overall contribution of the department. Approximately 8 years of relevant experience in a similar role as a Procurement Leader or Lead Buyer for technical procurement.",1,,,
Buyer/Senior Buyer (Direct Materials & Planning Interface),https://mitsubishichemicalgroup.wd3.myworkdayjobs.com/en-US/MCCGroupCareers/job/Buyer-Senior-Buyer--Direct-Materials---Planning-Interface-_JR_0001075-1,,,Potential buyer / industrial consumer,,,,,0001075-1,,You.com,,1,,,
Senior Buyer / Contract Specialist,https://globalkerja.com/job/senior-buyer-contract-specialist/,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,example@domain.com,,2026-04-28,,You.com,"Managing sourcing, procurement, and contract administration for goods and essential services of a petrochemical company. Ensure cost-effective purchasing and maintain compliance with the SOP and policies of the Petrochemical industry. Collaborate with end users and suppliers to identify cost-saving initiatives or levers for category procurement. Handle high-value purchase orders that are not covered under the framework agreement. Draft Supplier Relationship Management plans for all suppliers.",1,,,
Procurement Buyer,https://talents.vaia.com/companies/alignhr-oregon/new-martinsville/procurement-buyer-equipment-services-onsite-manufacturing-93162440/,,,Potential buyer / industrial consumer,,,409de5b70a2543dd86a70596f9748d8a@o259195.ingest.sentry.io,,3/2024/10,,You.com,"We think this is how you could land Procurement Buyer – Equipment & Services (Onsite Manufacturing) in New Martinsville ✨Get Involved in Industry Events Dive into procurement and purchasing events or conferences, like the ProcureCon series. If you’ve used procurement software or have experience with vendor evaluation, definitely include that, since we want to see how you can bring value to AlignHR Oregon in your role as a Procurement Buyer – Equipment & Services (Onsite Manufacturing).",1,,,
Petrochemical Industry Email List — 1.4M+ Verified Contacts | ...,https://www.pointtobusinessservices.com/petrochemical-industry-email-list.php,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,info@pointtobusinessservice.com,919600087662,+91-8296439334,,You.com,"Buy a verified Petrochemical Industry Email List from P2B Services — 1.4M+ contacts, refinery executives, chemical engineers, plant managers, procurement directors, 95%+ accuracy, GDPR compliant & CRM-ready. Sub-sectors: upstream, downstream, polymers, specialty chemicals, refining & more.",1,,,
Best Chemical Industry Email List & Contacts – PN Data Solutions ...,https://pndatasol.com/verified-chemical-industry-email-list-contacts/,,Chemicals,Potential buyer / industrial consumer,Chemicals,,sales@pndatasol.com,,2025-12-13,,You.com,"The chemical industry underpins innovation across manufacturing, pharmaceuticals, agriculture, energy, and consumer goods. To compete and scale effectively in this complex, regulation-driven sector, businesses must connect directly with qualified professionals and decision-makers.",1,,,
Chemical Industry Email List | Highly Verified Lists,https://www.bluemailmedia.com/industry/chemical/,,Chemicals,Potential buyer / industrial consumer,Chemicals,,sales@bluemailmedia.com,,2026-02-20,,You.com,Blue Mail Media’s chemical industry email list has a proven track record of boosting marketing campaigns and delivering the results you need,1,,,
WPC: World Petrochemical Conference Past Attendees List Company Title,https://cdn.ihsmarkit.com/www/pdf/1220/WPC-Past-Attendees-List.pdf,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,,,0 0 792 612,,You.com,LG Chem. Ltd. Petrochemical Div. Procurement Dept. Raw,1,,,
Petrochemicals Suppliers,https://www.thomasnet.com/suppliers/usa/petrochemicals-57725004,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,,,,,You.com,"Serves petrochemical industries.More + ... Manufacturer* , Custom Manufacturer, Distributor ⚫$250 Mil. and over Revenue ⚫Est. 1802 · Global manufacturer of engineered plastics, polymers, and resins. Product lines include various bio-polymers, elastomers, thermoplastics, ethylene copolymers, filaments, polymer adhesives, and more. Bio-polymers are developed from renewably sourced soy proteins. These materials ...",0,,,
Petrochemicals - Parchem,https://parchem.com/product-specialty-chemicals-catalog/petrochemical-products-supplier/petrochemicals-and-petrochemical-feedstock-distributor,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,,,2/38683/96037/197947/4102525,,You.com,"Supplier of petrochemical chemicals for industrial manufacturing, polymers, coatings, and energy applications. Full portfolio of solvents, monomers, and specialty hydrocarbons.",1,,,
Purchasing Managers Email List | Data Marketers Group,https://www.datamarketersgroup.com/purchasing-managers-email-list/,,,Potential buyer / industrial consumer,,,,,1688535598062338,,You.com,Reach across companies and industry professionals holding purchasing power by grabbing their contact information from our Purchasing Managers Email List.,1,,,
"Steel Purchasing Manager Jobs, Employment | Indeed",https://www.indeed.com/q-steel-purchasing-manager-jobs.html,,Steel,Potential buyer / industrial consumer,Steel,,,,,,You.com,"762 Steel Purchasing Manager jobs available on Indeed.com. Apply to Purchasing Manager, Commodity Manager, Sourcing Manager and more!",0,,,
Industrial Metal Supply Co. | Metal Made Easy,https://www.industrialmetalsupply.com/,,,Potential buyer / industrial consumer,,,,,5772-78437,,You.com,IMS is an experienced industrial metal supplier that provides a broad range of high-quality metal products to suit your project requirements and specifications.,1,,,
Oil and Gas Buyers Mailing List - 644K+ Contacts,https://www.datacaptive.com/industry-wise-mailing-list/oil-and-gas-buyers-mailing-list/,,,Potential buyer / industrial consumer,,,reach@datacaptive.com,,2026-07-13,,You.com,"Reach top oil and gas buyers worldwide with verified email and phone contacts. Expand your network, drive sales, and grow your business connections.",1,,,
Petroleum Product Suppliers Email List,https://www.averickmedia.com/database/petroleum-product-suppliers-email-list,,Petroleum products,Potential buyer / industrial consumer,Petroleum products,,sales@averickmedia.com,,2814077651,,You.com,"Reach petroleum decision-makers and professionals with our CRM-friendly, geo-targeted Petroleum Contact List to expand market reach.",1,,,
Petroleum Products Buyers | Buy Requests from Petroleum Products ...,https://www.tradewheel.com/buyers/petroleum-products/,,Petroleum products,Potential buyer / industrial consumer,Petroleum products,,info@tradewheel.com,,133016571,,You.com,Explore buy requests from Petroleum Products buyers worldwide. Connect with importers and wholesalers seeking reliable suppliers. Post your Petroleum Products Products and receive direct B2B inquiries on Tradewheel.com.,1,,,
Crude Oil Purchasing - Contact Information - American Refining Group,https://www.amref.com/crude-oil/crude-oil-purchasing/,,,Potential buyer / industrial consumer,,,rbest@amref.com,,2023/03/2,,You.com,"For ARG crude oil purchasing, meet our valued team and contact them personally or fill out a general purchasing request form.",1,,,
Petroleum and Petroleum Products Email List | FountMedia,https://www.fountmedia.com/petroleum-and-petroleum-products-email-list/,,Petroleum products,Potential buyer / industrial consumer,Petroleum products,,sales@fountmedia.com,,0173921505,,You.com,Find top contacts with our petroleum and petroleum products email list. Reach decision-makers and wholesalers globally to boost your marketing results.,1,,,
Oil and Gas Industry Email List | 550K+ Energy Contacts,https://www.bizinforusa.com/industry-database/oil-and-gas-leads/,,,Potential buyer / industrial consumer,,,sales@bizinforusa.com,,2026-05-18,,You.com,"Get BizInfor's oil and gas industry email list, 550K+ verified ops VPs, drilling managers, engineers, and procurement leads across upstream, midstream, downstream. 95% deliverability.",1,,,
How to get the emails for crude oil buyers - Quora,https://www.quora.com/How-do-I-get-the-emails-for-crude-oil-buyers,,,Potential buyer / industrial consumer,,,,,,,You.com,"Answer (1 of 2): Flat out, you can't…not that I know of. Certain things come into play when the rules are written when it comes to oil production, drilling and shipping. It's all bound and when it comes down to it, you can't contact just anyone when it comes to selling oil.",0,,,
Crude Oil Buyers & Importers | go4WorldBusiness.com,https://www.go4worldbusiness.com/find?searchText=crude-oil&BuyersOrSuppliers=buyers,,,Potential buyer / industrial consumer,,,help@go4worldbusiness.com,,+1-833-752-7161,,You.com,Sell Crude Oil in bulk to verified buyers and importers. Connect with businesses actively looking to buy wholesale Crude Oil at best prices.,1,,,
Petrochemical Industry Email List | Minimum Bounce Rates,https://www.bluemailmedia.com/industry/chemical/petrochemical/,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,sales@bluemailmedia.com,,2026-03-06,,You.com,The highly credible petrochemical industry email list will make sure you achieve all your outreach goals without any delays.,1,,,
How the Petrochemicals Industry Works,https://umbrex.com/resources/how-industries-work/manufacturing-industrial/how-the-petrochemicals-industry-works/,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,inquiry@umbrex.com,,2025-04-28,,You.com,"Insights into How the Petrochemicals Industry Works, with detailed analysis on value chains, key drivers, and more.",1,,,
CER – Market Snapshot: Petrochemical products in everyday life,https://www.cer-rec.gc.ca/en/data-analysis/energy-markets/market-snapshots/2018/market-snapshot-petrochemical-products-in-everyday-life.html,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,,,2023-11-28,,You.com,"Description: This diagram illustrates the petrochemical products flow from raw materials (oil and natural gas) to feedstocks, basic chemicals, chemical intermediates (derivatives), final products, and end uses of petrochemical products in industrial and consumer goods.",1,,,
Chemical Sourcing and Procurement | Camco Chemical,https://www.camco-chem.com/services-capabilities/sourcing-and-procurement/sourcing-and-procurement/,,Chemicals,Potential buyer / industrial consumer,Chemicals,,,,1616764993,,You.com,Camco Chemical serves in the Greater Cincinnati and Midwest area. Learn more about our company's Chemical Sourcing and Procurement. Contact us today!,1,,,
Petrochemical Feedstocks: 7 Critical Market Dynamics - Petro Eghlima,https://petroeghlima.com/2026/02/25/petrochemical-feedstocks-dynamics/,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,hedayat.hashemi@petroeghlima.com,989123233605,2026/02/25,,You.com,"Petrochemical feedstocks are the lifeblood of global industrial production. From plastics to fertilizers, every sector depends on a stable and cost-effective feedstock supply. For B2B traders, procurement managers, and importers, understanding feedstock market dynamics is no longer optional — it is a strategic imperative that directly impacts margins and supply chain resilience. ... Petrochemical feedstocks are raw materials ...",1,,,
Chemical Supply Chain Management & Procurement for Chemical Industry ...,https://www.gep.com/industries/chemicals,,Chemicals,Potential buyer / industrial consumer,Chemicals,,info@gep.com,,4144534771044672092,,You.com,GEP offers strong supply chain management and procurement solutions for the chemical industry to enable large chemical enterprises beat all challenges & chemicals supply chain risks. Get in touch with us & learn more about our offerings.,1,,,
Get to Know More about Petrochemical,https://pertachem.com/get-to-know-more-about-petrochemical,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,marketing.ppt@pertamina.com,,0 0 40 40,,You.com,"Petrochemicals are a branch of chemistry that focuses on the production and application of chemical compounds derived from petroleum and natural gas. These compounds play a crucial role in various aspects of modern life, serving as raw materials for industrial production and consumer products.",1,,,
"Petro Chemical Market by Type, End-Use Industry, Application & ...",https://www.marketsandmarkets.com/Market-Reports/petro-chemical-market-35603900.html,,Chemicals,Potential buyer / industrial consumer,Chemicals,,cmsales@marketsandmarkets.com,,+1-888-600-6441,,You.com,Petro Chemical Market Industry Global Forecast to 2030. Report provides crucial industry insights that will help your business grow.,1,,,
Procurement > thyssenkrupp Electrical Steel > Company > thyssenkrupp ...,https://www.thyssenkrupp-steel.com/en/company/business-units/electrical-steel/contact/procurement.html,,Steel,Potential buyer / industrial consumer,Steel,,,,2023-12-01 12,,You.com,"For steel production and processing , you have a strong , innovative partner with thyssenkrupp . We are one of the leading suppliers worldwide.",1,,,
Request a Quote | Your Gateway to Exceptional Steel Solutions,https://www.steel-mfg.com/contact-us/,,Steel,Potential buyer / industrial consumer,Steel,,sales@steel-mfg.com,,2024-03-01,,You.com,Contact us today to explore how we can contribute to your success with our innovative steel manufacturing expertise.,1,,,
The Top 10 Steel Suppliers In PA,https://www.bushwickmetals.com/top-steel-suppliers-in-pa/,,Steel,Potential buyer / industrial consumer,Steel,,,,,,You.com,"If you're looking for the best steel supplier in Pennsylvania, look no further. Here are the top 10 steel suppliers in PA.",0,,,
Contact Us | Steel Warehouse,https://www.steelwarehouse.com/contact-us/,,Steel,Potential buyer / industrial consumer,Steel,,,,,,You.com,"Your browser is out of date · You are currently using Internet Explorer 7/8/9, which is not supported by our site. For the best experience, please use one of the latest browsers",0,,,
About Us - Locations - www.ussteel. ...,https://www.ussteel.com/about-us/locations,,Steel,Potential buyer / industrial consumer,Steel,,,,1786960376000,,You.com,"East Chicago Tin has the equipment ... tin-free steel and coated sheet products utilized by the packaging and container markets for the manufacturing of cans, ends and closures for the food and beverage industry. The facility was indefinitely idled in late 2019. Tin production has been shifted to Midwest Plant and Gary ...",1,,,
"Steel Products, Inc. - Locations and Key Contacts | ProView",https://www.thebluebook.com/iProView/393296/steel-products-inc/subcontractors/locations-contacts/,,Steel,Potential buyer / industrial consumer,Steel,,,,,,You.com,"Locations and key contacts for Steel Products, Inc.",0,,,
Mill Products | CMC,https://www.cmc.com/en-us/what-we-do/america/mill-products,,Steel,Potential buyer / industrial consumer,Steel,,mycmc-logo@2x.png,,1785859787062,,You.com,"CMC has been in the metals business for more than 100 years and operates steel mills, fabrication facilities and recycling centers across the United States and in Poland.",1,,,
Contact Us – United Steel Supply,https://unitedsteelsupply.com/contact-us/,,Steel,Potential buyer / industrial consumer,Steel,,,,1786981591,,You.com,"Steel Products for the Metal Roofing and Metal Building Industry Get More Info - 512-263-0954 · For inquiries and more information about United Steel Supply, please contact us at 512-263-0954 or e-mail by filling out our contact form",1,,,
Steel Home - Summit Steel Corporation,https://summitsteel.com/,,Steel,Potential buyer / industrial consumer,Steel,,,,1081703600,,You.com,"Create a dynamic website for your electrical services with Avada & WordPress. Showcase your expertise, services, and attract clients with engaging designs.",1,,,
Contact - Polymer Industries,https://polymerindustries.com/contact/,,,Potential buyer / industrial consumer,,,chosen-sprite@2x.png,,0398225814194,,You.com,"Whether you have questions about our products, need technical support, or want to discuss a custom solution, we’re here to assist you with all your plastics needs. Contact us today and let us provide you with exceptional service.",1,32865402907,2026-08-25T15:22:48.433406+00:00,"""industrial consumer"" ""polymer"" ""feedstock"" ""purchasing department"" contact -hiring -list -article"
Polymer Plastic Manufacturer in Usa | Industrial Plastic Solutions,https://polymerplastics.com/,,,Potential buyer / industrial consumer,,,info@polymerplastics.com,,3787519756,,You.com,"Leading polymer plastic manufacturer offering industrial plastic products, custom polymer solutions, and high-quality plastic materials across India.",1,32865402907,2026-08-25T15:22:48.433406+00:00,"""industrial consumer"" ""polymer"" ""feedstock"" ""purchasing department"" contact -hiring -list -article"
"Mitsui Plastics, Inc. | Global Leading Raw Material Supplier",https://mitsuiplastics.com/,,,Potential buyer / industrial consumer,,,,,2026-07-31,,You.com,"Leading global raw material supplier, specializing in plastics and related products for diverse industry applications.",1,32865402907,2026-08-25T15:22:48.433406+00:00,"""industrial consumer"" ""polymer"" ""feedstock"" ""purchasing department"" contact -hiring -list -article"
The Best Polymer Business For Your Next Project,https://www.mcpolymers.com/about/business,,,Potential buyer / industrial consumer,,,,,1/80959706748/1782279835142,,You.com,Mallard Creek Polymers is the best polymer business for your next project. There is no project too large or too small. Contact us to today!,1,32865402907,2026-08-25T15:22:48.433406+00:00,"""industrial consumer"" ""polymer"" ""feedstock"" ""purchasing department"" contact -hiring -list -article"
Material Suppliers - Plastics Industry Association,https://www.plasticsindustry.org/who-we-serve/material-suppliers/,,,Potential buyer / industrial consumer,,,group-3@3x.png,,2026-03-24,,You.com,"Join PLASTICS' Material Suppliers Council. Connect with resin and additive suppliers, advocate for innovation, & address industry challenges.",1,32865402907,2026-08-25T15:22:48.433406+00:00,"""industrial consumer"" ""polymer"" ""feedstock"" ""purchasing department"" contact -hiring -list -article"
Polymer Resins Supplier | Custom Orders & Quality Guarantee - by ...,https://prlresins.com/,,,Potential buyer / industrial consumer,,,info@prlresins.com,,2026-05-14,,You.com,"As a leading resins supplier since 1974, we have short lead times, LTL, and color matching with our quality guarantee. Download our datasheets today.",1,32865402907,2026-08-25T15:22:48.433406+00:00,"""industrial consumer"" ""polymer"" ""feedstock"" ""purchasing department"" contact -hiring -list -article"
Polymer Supplier| Formerra,https://www.formerra.com/products/polymers,,,Potential buyer / industrial consumer,,,,,06-7600929,,You.com,"Explore our exclusive range of thermoplastic resins, engineered materials and high-performance materials from top suppliers. Learn more at the Formerra site.",1,32865402907,2026-08-25T15:22:48.433406+00:00,"""industrial consumer"" ""polymer"" ""feedstock"" ""purchasing department"" contact -hiring -list -article"
Home - Industrial Polymers & Chemicals,https://www.industrial-polymers.com/,,Chemicals,Potential buyer / industrial consumer,Chemicals,,sales@industrial-polymers.com,,2025-06-21,,You.com,"Industrial Polymers and Chemicals, Inc. (IPAC) is North America's largest supplier of fiberglass reinforcements to the Abrasives Industry",1,32865402907,2026-08-25T15:22:48.433406+00:00,"""industrial consumer"" ""polymer"" ""feedstock"" ""purchasing department"" contact -hiring -list -article"
Polymer Industrial Products – Contact Us,https://pipcousa.com/contact-us-2/,,,Potential buyer / industrial consumer,,,sales@pipcousa.com,,16349800-12,,You.com,"P.O. Box 310 688 Industrial Park Road Piney Flats, TN 37686 U.S.A. Please call today to get in touch with a representative in your area. Email sales@pipcousa.com Phone (423) 538-5105 · Polymer customer service have proven invaluable in handling difficult logistic issues quickly and efficiently.",1,32865402907,2026-08-25T15:22:48.433406+00:00,"""industrial consumer"" ""polymer"" ""feedstock"" ""purchasing department"" contact -hiring -list -article"
Specialty Polymers | Dow Inc.,https://www.dow.com/en-us/product-technology/pt-specialty-polymers-compounds.html,,,Potential buyer / industrial consumer,,,,,87938801574,,You.com,"Dow's specialty polymers address the toughest requirements in packaging, personal care, wire & cable, infrastructure & other applications.",1,32865402907,2026-08-25T15:22:48.433406+00:00,"""industrial consumer"" ""polymer"" ""feedstock"" ""purchasing department"" contact -hiring -list -article"
"INDUSTRIAL POLYMERS & CHEMICALS, INC. | LinkedIn",https://www.linkedin.com/company/industrial-polymers-&-chemicals-inc.,,Chemicals,Potential buyer / industrial consumer,Chemicals,,,,,https://www.linkedin.com/company/industrial-polymers-&-chemicals-inc.,You.com,"INDUSTRIAL POLYMERS & CHEMICALS, INC. | 141 followers on LinkedIn. North America's largest supplier of fiberglass reinforcements to the Abrasives Industry with Cutting, kitting & sewing. | Founded in 1959 by Ralph Dacey, Industrial Polymers and Chemicals, Inc.",0,32865402907,2026-08-25T15:22:48.433406+00:00,"""industrial consumer"" ""polymer"" ""feedstock"" ""purchasing department"" contact -hiring -list -article"
Homepage - Polymer Services : Polymer Services,https://www.polymerservices.com/,,,Potential buyer / industrial consumer,,,info@polymerservices.com,,2025-11-14,,You.com,"An affordable partner in polymers services · The process of blending plastics with other ingredients to create new polymers is known in the industry as ""compounding""",1,32865402907,2026-08-25T15:22:48.433406+00:00,"""industrial consumer"" ""polymer"" ""feedstock"" ""purchasing department"" contact -hiring -list -article"
Polymers | LyondellBasell,https://www.lyondellbasell.com/en/our-solutions/products/polymers/,,,Potential buyer / industrial consumer,,,,,20250929201449,,You.com,"Explore LyondellBasell’s full polymer portfolio including HDPE, LDPE, PP, EVA, and specialty resins.",1,32865402907,2026-08-25T15:22:48.433406+00:00,"""industrial consumer"" ""polymer"" ""feedstock"" ""purchasing department"" contact -hiring -list -article"
Us petrochemicals inc USA Import & Buyer Data,https://www.seair.co.in/us-importers/us-petrochemicals-inc.aspx,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,,,,,You.com,"View Us petrochemicals inc import data USA including customs records, shipments, HS codes, suppliers, buyer details & company profile at Seair Exim.",0,32865402907,2026-08-25T15:22:48.433406+00:00,"""petrochemical manufacturer"" ""sourcing"" ""importer"" ""supply chain"" contact us -jobs -careers -directory"
"US Petrochemical Industries, Inc. : Quotes, Address, Contact",https://www.azom.com/suppliers.aspx?SupplierID=4575,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,,,17021287947128257,,You.com,US Petrochemical is a Texas Corporation started in 1987 and now operates in more than 30 countries and has offices in several.,1,32865402907,2026-08-25T15:22:48.433406+00:00,"""petrochemical manufacturer"" ""sourcing"" ""importer"" ""supply chain"" contact us -jobs -careers -directory"
Welcome to US Petrochemicals | US Petrochemicals,https://uspetrochemicals.com/,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,,,102801573125923,,You.com,"US Petrochemicals's strengths lie in sourcing, read more · We strive to provide excellent service in every arena of business that we handle. Our services include but are not limited to duties such as making sure there is an accurate inspection, transportation with on time delivery, read more · US Petrochemicals started in 1987 as a supplier of raw material to specialty chemical plants today is a world leader in supplying commodity feedstock to manufacturing ...",1,32865402907,2026-08-25T15:22:48.433406+00:00,"""petrochemical manufacturer"" ""sourcing"" ""importer"" ""supply chain"" contact us -jobs -careers -directory"
Chemical and Petrochemical Industry at Bilfinger: Bilfinger,https://www.bilfinger.com/en/us/markets/chemicals-petrochemicals/,,Petrochemicals,Potential buyer / industrial consumer,Petrochemicals,,,,,,You.com,"Bilfinger identifies and implements solutions that make your chemical and petrochemical plant more sustainable, efficient and future-proof.",0,32865402907,2026-08-25T15:22:48.433406+00:00,"""petrochemical manufacturer"" ""sourcing"" ""importer"" ""supply chain"" contact us -jobs -careers -directory"
